,Accuracy,F1 Score,Recall,Precision
Logistic Regression w/GridsearchCV,0.9776244952893675,0.9779910640410393,0.9942799461641992,0.9622272875284924
Support Vector Machine w/GridsearchCV,0.9779609690444145,0.9782788923893219,0.9925975773889637,0.9643674403399803
